linkID,FREEFL01,FREEFL02,FREEFL03,FREEFL04,FREEFL05,FREEFL06,FREEFL07,FREEFL08,FREEFL09,FREEFL10,FREEFL11,FREEFL12,FREEFL13,FREEFL14,FREEFL15,FREEFL16,FREEFL17,FREEFL18,FREEFL19,FREEFL20,FREEFL21,FREEFL22,FREEFL23,FREEFL24
100000,50.0,50.0,50.0,50.0,50.0,53.0,52.08,49.59,51.03,49.99,45.89,47.49,46.795,45.68,46.17,47.05,45.92,47.77,48.205,49.1,47.285,46.56,50.0,50.0
100001,53.0,53.0,53.0,53.0,53.0,54.0,50.65,52.17,51.54,49.42,51.7,51.76,51.86,47.75,38.18,49.73,50.35,51.41,49.37,49.0,49.0,49.0,53.0,53.0
100002,26.92,28.5,28.5,28.5,28.575,28.905,31.01,29.17,28.78,27.97,26.635,24.315,26.3,22.495,24.66,27.34,24.365,27.045,24.645000000000003,24.255,23.455,29.085,28.335,28.97
100003,26.5,26.5,27.16,26.5,25.305,24.45,24.975,25.355,25.965,27.29,23.025,24.415000000000006,24.56,26.505000000000006,27.69,28.925,24.65,26.76,26.97,25.805,24.56,22.62,24.195,26.53
100004,37.0,37.0,37.0,37.0,37.0,35.2,38.43,39.46,39.0,40.62,39.29,38.15,40.15,38.05,39.08,34.0,34.75,35.52,38.97,35.64,33.89,38.79,36.98,37.37
100005,17.0,2.0,2.0,2.0,17.0,16.5,18.0,17.0,18.5,13.185,14.88,16.0,11.0,11.335,19.630000000000006,19.5,13.94,15.0,18.5,16.83,19.0,15.0,17.0,17.0
100006,39.275,39.345,39.5,39.175,39.5,40.5,39.5,39.2,40.295,36.81,39.62000000000001,39.335,32.614999999999995,37.96,40.98,36.765,38.69,36.75,38.59,38.315,39.82,38.715,39.98,41.25
100007,47.0,47.0,47.0,47.0,46.775,48.065,49.0,48.5,48.78,47.38,47.58,47.255,44.93,42.97,41.305,34.879999999999995,46.9,46.83,45.18,45.925,46.9,45.18,47.49,44.84
100008,54.5,54.3,54.49,54.5,54.5,58.0,56.87000000000001,55.26,56.5,54.885,53.790000000000006,50.90000000000001,47.855,53.125,54.535,53.325,54.55,54.105,53.27,53.83,52.02,53.405,54.695,54.76000000000001
100009,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,47.0,46.0,49.0,53.0,50.0,46.0,46.0,46.0,46.0,46.0,42.25,48.0,48.0,48.0,48.0,45.0
100010,50.5,50.5,50.5,50.5,50.5,50.0,51.0,51.5,53.0,55.0,53.0,37.0,35.0,36.0,36.0,53.0,50.5,50.5,43.915,45.77,40.855,49.815,50.5,50.5
100011,56.0,56.0,56.0,56.0,56.0,56.5,55.5,54.5,56.5,56.5,57.5,59.0,55.5,55.5,54.9,58.5,58.5,49.35,49.54,47.825,55.5,57.0,56.1,56.0
100012,57.0,57.0,57.0,57.0,57.0,57.5,57.0,60.0,61.0,58.5,52.0,54.5,58.5,59.43,56.13500000000001,58.0,58.5,52.355,53.23,53.755,57.5,58.0,56.51000000000001,57.0
100013,53.5,53.095,53.195,53.5,53.5,54.5,49.03,50.78,52.025,52.585,50.94,50.225,53.455,52.97,53.145,50.545,48.775,45.95,45.425,47.415,43.0,43.975,53.575,53.5
100014,52.0,51.59,51.845,52.0,52.0,54.5,53.38,52.92,52.8,51.625,50.78,51.47,52.90000000000001,50.52,51.04,48.675,52.14,52.925,52.31,51.42,52.0,52.82,49.405,52.0
100015,49.5,49.5,49.5,49.5,49.315,49.0,48.49500000000001,49.23,49.03,48.02500000000001,49.455,49.745,49.94,47.01000000000001,41.37000000000001,47.76,48.69,47.58,47.86,47.0,47.275,48.0,49.525,49.485
100016,44.5,44.5,44.5,44.5,44.5,44.0,43.395,43.855,44.2,42.56999999999999,42.38,42.835,43.72,43.895,41.81,42.9,41.02,43.085,43.675,44.6,44.785,44.5,44.5,44.5
100017,40.0,40.0,40.09,40.0,39.855,40.435,41.14,40.68,37.79,36.725,36.6,37.49,36.235,38.485,37.135,37.16,37.435,39.49500000000001,40.18,38.83,40.49500000000001,41.01,40.455,40.5
