FID,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,X,Y,Name,num_L1,num_L2,num_DC
21,13,0.05028132286,0.00014935859,Battery Park City,13,Manhattan,-74.018095,40.706643,Downtown Manhattan,0,3,2
22,13,0.05028132286,0.00014935859,Battery Park City,13,Manhattan,-74.014948,40.71695,Downtown Manhattan,0,2,0
23,13,0.05028132286,0.00014935859,Battery Park City,13,Manhattan,-74.016962,40.706976,Downtown Manhattan,0,3,2
24,13,0.05028132286,0.00014935859,Battery Park City,13,Manhattan,-74.01556396484375,40.71417999267578,Downtown Manhattan,0,0,8
25,13,0.05028132286,0.00014935859,Battery Park City,13,Manhattan,-74.016593,40.707624,Downtown Manhattan,0,3,2
26,13,0.05028132286,0.00014935859,Battery Park City,13,Manhattan,-74.015929,40.716079,Downtown Manhattan,0,3,2
27,13,0.05028132286,0.00014935859,Battery Park City,13,Manhattan,-74.016396,40.710652,Downtown Manhattan,0,3,2
28,13,0.05028132286,0.00014935859,Battery Park City,13,Manhattan,-74.016762,40.708465,Downtown Manhattan,0,3,2
29,13,0.05028132286,0.00014935859,Battery Park City,13,Manhattan,-74.015239,40.709643,Downtown Manhattan,0,4,4
30,13,0.05028132286,0.00014935859,Battery Park City,13,Manhattan,-74.016194,40.716305,Downtown Manhattan,0,0,1
60,249,0.03638434365,7.22156e-05,West Village,249,Manhattan,-74.00187,40.735094,Downtown Manhattan,0,1,0
61,249,0.03638434365,7.22156e-05,West Village,249,Manhattan,-74.00007,40.7372,Downtown Manhattan,0,3,2
62,249,0.03638434365,7.22156e-05,West Village,249,Manhattan,-73.997754,40.737094,Downtown Manhattan,0,3,2
63,209,0.03069531135,3.887034e-05,Seaport,209,Manhattan,-74.006195,40.710636,Downtown Manhattan,0,5,5
64,209,0.03069531135,3.887034e-05,Seaport,209,Manhattan,-74.004401,40.709609,Downtown Manhattan,0,3,2
65,125,0.04973221218,7.642932e-05,Hudson Sq,125,Manhattan,-74.00765,40.728704,Downtown Manhattan,0,1,0
66,113,0.03274535057,5.796346e-05,Greenwich Village North,113,Manhattan,-73.991565,40.7297,Downtown Manhattan,0,2,0
67,113,0.03274535057,5.796346e-05,Greenwich Village North,113,Manhattan,-73.993075,40.730501,Downtown Manhattan,0,3,2
68,113,0.03274535057,5.796346e-05,Greenwich Village North,113,Manhattan,-73.992393,40.728137,Downtown Manhattan,0,3,2
69,113,0.03274535057,5.796346e-05,Greenwich Village North,113,Manhattan,-73.990963,40.73099,Downtown Manhattan,0,3,2
70,113,0.03274535057,5.796346e-05,Greenwich Village North,113,Manhattan,-73.99608,40.732257,Downtown Manhattan,0,3,2
71,113,0.03274535057,5.796346e-05,Greenwich Village North,113,Manhattan,-73.99517,40.732324,Downtown Manhattan,0,3,2
72,113,0.03274535057,5.796346e-05,Greenwich Village North,113,Manhattan,-73.992045,40.731544,Downtown Manhattan,0,3,2
73,113,0.03274535057,5.796346e-05,Greenwich Village North,113,Manhattan,-73.995291,40.735594,Downtown Manhattan,0,3,2
79,231,0.06342011656,0.00016692975,TriBeCa/Civic Center,231,Manhattan,-74.01258,40.7163,Downtown Manhattan,0,1,0
80,231,0.06342011656,0.00016692975,TriBeCa/Civic Center,231,Manhattan,-74.010394,40.719814,Downtown Manhattan,0,4,2
81,231,0.06342011656,0.00016692975,TriBeCa/Civic Center,231,Manhattan,-74.012393,40.716579,Downtown Manhattan,0,3,2
82,231,0.06342011656,0.00016692975,TriBeCa/Civic Center,231,Manhattan,-74.01070051280495,40.72368221859188,Downtown Manhattan,0,3,2
83,231,0.06342011656,0.00016692975,TriBeCa/Civic Center,231,Manhattan,-74.007465,40.720215,Downtown Manhattan,0,3,2
84,231,0.06342011656,0.00016692975,TriBeCa/Civic Center,231,Manhattan,-74.011042,40.717568,Downtown Manhattan,0,3,2
85,231,0.06342011656,0.00016692975,TriBeCa/Civic Center,231,Manhattan,-74.009488,40.716208,Downtown Manhattan,0,3,2
86,231,0.06342011656,0.00016692975,TriBeCa/Civic Center,231,Manhattan,-74.011435,40.715543,Downtown Manhattan,0,3,2
87,231,0.06342011656,0.00016692975,TriBeCa/Civic Center,231,Manhattan,-74.009808,40.714121,Downtown Manhattan,0,3,2
88,211,0.02523450821,3.97292e-05,SoHo,211,Manhattan,-74.003604,40.721244,Downtown Manhattan,0,3,2
89,211,0.02523450821,3.97292e-05,SoHo,211,Manhattan,-74.003781,40.721638,Downtown Manhattan,0,2,2
90,211,0.02523450821,3.97292e-05,SoHo,211,Manhattan,-74.00092,40.721244,Downtown Manhattan,0,3,2
91,148,0.03913050156,6.974899e-05,Lower East Side,148,Manhattan,-73.991658,40.717195,Downtown Manhattan,0,5,10
92,148,0.03913050156,6.974899e-05,Lower East Side,148,Manhattan,-73.988197,40.719319,Downtown Manhattan,0,9,8
93,148,0.03913050156,6.974899e-05,Lower East Side,148,Manhattan,-73.987776,40.721724,Downtown Manhattan,0,3,2
94,87,0.03690154961,6.720502e-05,Financial District North,87,Manhattan,-74.008118,40.705042,Downtown Manhattan,0,3,2
95,87,0.03690154961,6.720502e-05,Financial District North,87,Manhattan,-74.009682,40.704976,Downtown Manhattan,0,3,2
96,87,0.03690154961,6.720502e-05,Financial District North,87,Manhattan,-74.004989,40.70736,Downtown Manhattan,0,3,2
97,87,0.03690154961,6.720502e-05,Financial District North,87,Manhattan,-74.010148,40.706109,Downtown Manhattan,0,3,2
98,107,0.03804136459,7.461122e-05,Gramercy,107,Manhattan,-73.989198,40.734817,Midtown Manhattan,0,6,3
99,107,0.03804136459,7.461122e-05,Gramercy,107,Manhattan,-73.985319,40.735561,Midtown Manhattan,0,2,2
100,107,0.03804136459,7.461122e-05,Gramercy,107,Manhattan,-73.983331,40.73591,Midtown Manhattan,0,3,2
