linkID,FREEFL01,FREEFL02,FREEFL03,FREEFL04,FREEFL05,FREEFL06,FREEFL07,FREEFL08,FREEFL09,FREEFL10,FREEFL11,FREEFL12,FREEFL13,FREEFL14,FREEFL15,FREEFL16,FREEFL17,FREEFL18,FREEFL19,FREEFL20,FREEFL21,FREEFL22,FREEFL23,FREEFL24
100000,50.0,50.0,50.0,50.0,50.0,51.0,50.0,46.5,48.0,48.5,48.5,48.0,48.5,47.5,47.975,49.41,49.5,50.0,49.5,47.88,49.0,49.0,50.0,50.0
100001,53.0,53.0,53.0,53.0,53.0,55.0,56.0,52.0,51.0,52.0,51.0,51.0,53.0,51.0,51.64,53.21,52.0,53.0,51.89,26.06,48.0,53.0,53.0,53.0
100002,28.51,28.43,28.365,28.5,28.5,27.26,26.49,27.0,24.885,27.95,26.065,26.235,27.5,29.0,25.5,22.5,25.445,23.34,24.5,28.0,30.375,29.67,26.895,28.5
100003,26.59,26.54,25.855,26.5,27.025,23.345,23.29,23.805,22.275,23.215,25.5,26.24,26.275,26.89,23.845,23.995,25.35,26.5,26.5,27.0,27.0,27.525,26.5,26.5
100004,37.0,36.52,36.15,37.0,36.71,40.86,37.66,37.0,36.31,35.41,36.0,35.75,36.0,36.0,35.68,35.0,36.0,35.0,36.0,38.0,37.0,36.0,37.0,36.34
100005,17.0,17.0,17.0,17.0,17.0,20.0,21.5,18.0,14.0,12.5,15.0,12.0,16.0,18.5,23.0,20.0,17.5,14.5,14.0,11.0,11.565,16.5,17.0,17.0
100006,37.845,38.09,39.355,39.5,39.5,38.5,41.875,38.765,35.895,36.08,39.89,34.75,38.705,41.5,42.665,39.0,37.83,37.5,37.66,34.59,35.0,39.485,39.425,36.33
100007,47.0,47.0,47.0,47.0,48.395,51.5,47.5,47.0,46.0,45.90000000000001,43.985,43.48,45.0,47.0,46.5,46.0,46.0,46.0,43.5,42.4,43.21,45.0,47.0,47.0
100008,54.17,54.5,54.5,54.5,54.81,56.5,55.04,54.0,54.5,52.61,54.645,53.805,53.395,53.5,53.5,53.5,55.0,54.5,52.0,47.75,53.0,54.0,51.805,54.43
100009,48.0,48.0,48.0,48.0,48.0,44.0,47.0,47.0,47.0,48.0,48.0,48.0,49.0,47.0,48.0,49.0,48.0,50.0,51.0,49.0,48.0,47.0,48.0,48.0
100010,50.5,50.5,50.5,50.5,50.5,50.5,50.0,47.0,48.0,49.0,47.5,49.5,49.0,48.5,49.5,49.0,47.5,50.5,52.0,37.5,50.5,50.5,50.5,50.5
