ID,Link,Left,Through,Right,laneID,length
2,100000,1000051,1001141,0,1000001,6.352643067467043
3,100002,0,0,0,1000021,552.5748886939155
4,100119,1001181,1001231,0,1001191,1567.006497401312
5,100119,0,1001232,0,1001192,1569.0482524478873
6,100001,1001191,1000021,0,1000011,6.352643071124875
7,100005,1000061,1000571,0,1000051,1796.2228273903904
8,100005,0,1000572,0,1000052,1798.7279396443735
9,100114,0,1001072,1001133,1001142,1524.3994286000634
10,100114,0,1001071,0,1001141,1518.7351214461962
11,100003,0,0,1001192,1000032,574.5784210115589
12,100003,0,1000001,0,1000031,585.580197932831
13,100004,0,1000031,0,1000042,937.0786913215738
14,100004,0,0,0,1000041,937.6476979139586
15,100004,0,0,0,1000043,938.2167052851973
16,100030,0,0,1000313,1000302,1393.9714196259615
17,100030,0,1000271,0,1000301,1394.5326951434563
18,100006,0,1001192,1000021,1000062,1793.2745026724951
19,100006,1000001,1001191,0,1000061,1794.5659123785326
20,100057,0,1000561,0,1000571,363.34498092709657
21,100057,0,1000562,0,1000572,363.2823629422764
22,100007,0,1000211,0,1000071,54.83453164467267
23,100007,0,1000212,0,1000072,54.87148256210041
24,100010,0,1000161,0,1000101,13.67934536557849
25,100010,0,1000162,0,1000102,13.679345844350737
26,109850,0,1098591,0,1098502,642.7268514172839
27,109850,1098491,0,0,1098501,644.5593928288488
28,109850,0,0,0,1098503,646.3919327497049
29,100008,0,1000101,1098503,1000081,54.76062980245616
30,100021,0,0,1000243,1000214,527.7258927944068
31,100021,0,1000221,0,1000212,528.4470273017085
32,100021,0,1000222,0,1000213,529.1681626158583
33,100021,0,0,0,1000211,529.8892987356436
34,100009,1098501,1000071,0,1000091,13.67934440603252
35,100016,0,1000141,0,1000161,5.095696259710851
36,100016,0,1000142,0,1000162,5.0956965572054616
37,100011,0,0,0,1000111,10.312681534864547
38,100011,0,0,0,1000112,10.312676208329394
39,100013,0,1000151,0,1000132,82.74077596201721
40,100013,1000141,0,0,1000131,85.27947191292152
41,100013,0,0,0,1000133,87.81816665457258
42,100026,0,1000281,0,1000261,530.7708970706818
43,100026,0,1000282,0,1000262,530.2952302100023
44,100012,0,1000261,0,1000122,10.312692190721236
45,100012,1000131,0,0,1000121,10.312697518177028
46,100012,0,0,0,1000123,10.312702845628742
47,100014,0,1000121,0,1000142,85.70707939418581
48,100014,0,0,0,1000141,90.01979466143044
49,100014,0,0,0,1000143,94.33251018205749
50,100015,0,1000091,0,1000151,5.095695664721459
51,100017,0,0,0,1000171,24.82775471439838
52,100018,0,0,0,1000181,23.945850327354563
53,100019,0,1000241,0,1000192,10.020622583912557
54,100019,0,1000242,0,1000193,10.020623361056417
55,100019,1000221,0,0,1000191,10.020624138200105
56,100019,0,0,0,1000194,10.020624915343621
57,109844,0,0,1098423,1098444,1565.1047517952456
58,109844,0,1098431,0,1098442,1558.8459591401177
59,109844,0,1098432,0,1098443,1552.5871727766505
60,109844,0,0,0,1098441,1546.328392702645
61,100022,0,1000541,0,1000222,48.44652264513137
62,100022,0,1000542,0,1000223,48.446550437499695
63,100022,1000231,0,0,1000221,48.44657822948171
64,100022,0,0,0,1000224,48.446606023078296
65,100024,0,0,1000251,1000243,96.70603323508341
66,100024,0,1000281,0,1000242,96.28987276905802
67,100024,0,0,0,1000241,95.87371223160834
68,100020,0,1098441,0,1000202,48.96353666340342
69,100020,0,1098442,0,1000203,48.9635092096859
70,100020,1000191,0,0,1000201,48.96348175594602
71,100020,0,0,0,1000204,48.963454301221574
72,100023,0,1000201,0,1000232,10.905072611206151
73,100023,0,1000202,0,1000233,10.905071984411538
74,100023,0,0,0,1000231,10.905071357616807
75,100023,0,0,0,1000234,10.905070730821956
76,100054,0,1000551,0,1000542,700.236500956038
77,100054,0,1000552,0,1000543,699.6751148670877
78,100054,1000521,0,0,1000541,699.1137280874044
79,100054,0,0,0,1000544,698.5523406123376
80,100025,0,1000111,1000133,1000251,531.7222293043919
81,100028,1000311,1000291,0,1000281,48.39863501376093
82,100028,0,1000292,0,1000282,48.39865930604156
83,100027,0,1000251,0,1000271,48.39858642729966
84,100029,0,1000041,0,1000291,1392.8488666017477
85,100029,0,1000042,0,1000292,1392.2875890941314
86,100031,0,0,1000544,1000313,92.9422604272645
87,100031,0,1000231,0,1000312,93.3379846136084
88,100031,0,0,0,1000311,93.733708734405
89,100032,0,0,0,1000321,194.67505329575107
90,100032,0,0,0,1000322,196.8141515786367
91,100035,0,1000361,0,1000351,102.69903758042925
92,100035,0,1000362,0,1000352,102.65609547230747
93,100033,0,1000351,0,1000331,190.39685672946655
94,100033,0,1000352,0,1000332,188.2577584481715
95,100034,0,1000321,0,1000341,102.7849217984319
96,100034,0,1000322,0,1000342,102.82786390679581
97,100036,0,1000391,0,1000361,64.48135866397001
98,100036,0,1000392,0,1000362,64.4813587926458
99,100037,0,1000341,0,1000371,64.48135840507832
100,100037,0,1000342,0,1000372,64.48135827583717
101,100039,0,1000401,0,1000391,153.80203817906835
102,100039,0,1000402,0,1000392,153.77357012741544
103,100038,0,1000371,0,1000381,153.8589742834181
104,100038,0,1000372,0,1000382,153.8874423355279
105,100040,0,1000421,0,1000401,76.79179360546925
106,100040,0,1000422,0,1000402,76.79179375007752
107,100041,0,1000381,0,1000411,76.79179331585182
108,100041,0,1000382,0,1000412,76.79179317110992
109,100042,0,1000611,0,1000421,77.77816109926279
110,100042,0,1000612,0,1000422,77.77816120196464
111,100043,0,1000411,0,1000431,77.77816089233379
112,100043,0,1000412,0,1000432,77.77816078834442
113,100061,0,1000591,0,1000611,77.2904670102112
114,100061,0,1000592,0,1000612,77.29046710053213
115,100044,0,1098461,0,1000442,2269.3549177577274
116,100044,0,0,0,1000441,2270.45857836759
117,100044,0,0,0,1000443,2271.562237479478
118,100045,1000481,1000501,0,1000451,9.0235209064991
119,100045,0,1000502,0,1000452,9.023520908086173
120,109846,0,1098511,0,1098464,7.562412938942783
121,109846,0,1098512,0,1098462,7.562408585352227
122,109846,0,1098513,0,1098463,7.562404231758053
123,109846,1098471,0,0,1098461,7.562399878462073
124,109846,0,0,0,1098465,7.562395524860663
125,100046,0,1000441,0,1000461,9.023520905445308
126,100048,0,0,1000474,1000483,594.7574325757209
127,100048,0,1001011,0,1000482,596.856520587951
128,100048,0,0,0,1000481,598.9556110472905
129,100050,0,1000532,1000514,1000502,58.029526796502275
130,100050,0,1000531,0,1000501,58.82165783635597
131,100047,0,1000441,0,1000472,594.5575459662616
132,100047,0,1000442,0,1000473,595.9553692786246
133,100047,1000451,0,0,1000471,597.3531906384711
134,100047,0,0,0,1000474,598.7510100499546
135,100101,0,1001081,0,1001011,3165.5918166537353
136,100101,0,1001082,0,1001012,3165.3539791166813
137,100049,0,1000461,1000483,1000491,56.44526472206532
138,100051,0,1000201,0,1000512,705.0362284702121
139,100051,0,1000202,0,1000513,705.0036218538299
140,100051,0,0,0,1000511,704.9710152893257
141,100051,0,0,0,1000514,704.938408775986
142,100053,0,1000551,0,1000531,11.053990276829015
143,100053,0,1000552,0,1000532,11.053990283287568
144,100052,1000511,1000491,0,1000521,11.053990263821529
145,100055,0,1000581,0,1000552,71.42731087155852
146,100055,0,1000582,0,1000553,71.56984402471686
147,100055,1000561,0,0,1000551,71.71237733017259
148,100055,0,0,0,1000554,71.85491078417284
149,100056,0,0,1000491,1000563,75.9598408175727
150,100056,0,1000511,0,1000562,79.30749586479813
151,100056,1000531,0,0,1000561,82.65514668912203
152,100058,0,1000061,0,1000581,363.4702171745679
153,100058,0,1000062,0,1000582,363.5328354381297
154,100059,0,1000641,0,1000591,79.27346202551999
155,100059,0,1000642,0,1000592,79.27346217969901
156,100062,0,1000431,0,1000621,77.29046682945544
157,100062,0,1000432,0,1000622,77.2904667391345
158,100060,0,1000621,0,1000601,79.27346171716196
159,100060,0,1000622,0,1000602,79.2734615628479
