Id,nLane,tLinkID,FN,TN,linkID,freeflowsp,length,Left,Through,Right,Lane1,Lane2,Lane3,Lane4,Lane5,Lane6,Lane7,Lane8,Lane9,FREEFL1,FREEFL2,FREEFL3,FREEFL4,FREEFL5,FREEFL6,FREEFL7,FREEFL8,FREEFL9,FREEFL10,FREEFL11,FREEFL12,FREEFL13,FREEFL14,FREEFL15,FREEFL16,FREEFL17,FREEFL18,FREEFL19,FREEFL20,FREEFL21,FREEFL22,FREEFL23,FREEFL24,fid
100000,1.0,100001,553,554,100000,35,6.352643069295959,100005,100114,0,1000001,0,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100000
100002,1.0,100003,553,634,100002,35,563.5766512653249,0,0,0,1000021,0,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100002
100119,2.0,0,553,355,100119,35,1564.9647447611142,100118,100123,0,1001191,1001192,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100119
100001,1.0,100000,554,553,100001,35,6.352643069295959,100119,100002,0,1000011,0,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100001
100005,2.0,0,554,798,100005,35,1793.7177122362702,100006,100057,0,1000051,1000052,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100005
100114,2.0,100115,554,366,100114,35,1530.0637337817125,0,100107,100113,1001141,1001142,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100114
100003,2.0,100002,634,553,100003,35,563.5766512653249,0,100000,100119,1000031,1000032,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100003
100004,3.0,0,740,634,100004,35,936.5096855034928,0,100003,0,1000041,1000042,1000043,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100004
100030,2.0,100029,740,901,100030,35,1393.4101434451552,0,100027,100031,1000301,1000302,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100030
100006,2.0,0,798,553,100006,35,1791.9830946958864,100000,100119,100002,1000061,1000062,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100006
100057,2.0,100058,798,835,100057,35,363.40759900525524,0,100056,0,1000571,1000572,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100057
100007,2.0,100008,1015,1018,100007,35,54.797580724673146,0,100021,0,1000071,1000072,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100007
100010,2.0,100009,1015,1012,100010,35,13.679344886139083,0,100016,0,1000101,1000102,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100010
