linkID,FREEFL01,FREEFL02,FREEFL03,FREEFL04,FREEFL05,FREEFL06,FREEFL07,FREEFL08,FREEFL09,FREEFL10,FREEFL11,FREEFL12,FREEFL13,FREEFL14,FREEFL15,FREEFL16,FREEFL17,FREEFL18,FREEFL19,FREEFL20,FREEFL21,FREEFL22,FREEFL23,FREEFL24
100000,50.0,50.0,50.0,50.0,50.0,50.315,50.375,46.925,47.915,46.8,47.315,47.85,48.475,47.88500000000001,48.895,48.99,44.53,48.035,47.045,49.02,48.98,49.5,49.395,50.0
100001,53.0,53.0,53.0,53.0,53.0,52.31,54.0,52.0,50.36,52.0,54.0,51.86,50.75,49.27,50.0,50.61,50.62,54.0,51.19,50.0,51.0,53.0,53.0,53.0
100002,28.55,28.5,28.5,28.5,29.01,29.36,21.5,26.785,23.725,26.27,24.79,28.23,24.895,22.06,23.27,25.035,24.525,21.93,25.315,24.43,30.355,29.33,28.985,28.605
100003,25.55,25.26,25.995,24.695,27.05,28.4,24.635,22.32,20.305,25.525,23.865,21.115,24.64,25.325,25.96,20.255,27.175,23.13,24.265,26.28,28.745,26.09,23.83,25.925
100004,35.99,36.24,37.1,36.71,36.09,39.05,37.92,37.75,35.26,36.56,37.35,33.14,36.97,36.79,37.51,33.02,23.94,34.73,33.42,35.1,37.0,35.32,37.0,36.44
100005,17.0,17.0,17.0,17.0,17.0,19.5,21.5,17.0,14.0,14.435,15.62,13.0,15.92,19.2,17.195,14.89,11.725,10.37,15.0,14.64,10.665,15.98,17.0,17.0
100006,38.725,39.62000000000001,39.5,39.965,39.735,37.695,40.965,37.84,37.085,36.12000000000001,31.87,31.32,35.965,41.155,43.215,38.045,38.025,37.06,36.065,35.285,36.165,37.985,39.095,38.405
100007,45.725,47.0,47.0,47.0,47.42,46.845,46.005,46.88,46.915,44.195,44.62000000000001,43.935,45.855,45.42,46.895,44.225,43.345,43.875,41.265,44.005,45.44,44.5,46.76000000000001,47.0
100008,52.365,54.5,54.5,54.5,52.67,56.11,55.285,54.49,54.575,52.995,53.17,54.525,54.04,53.03,50.965,48.66,52.945,54.49,53.35,54.575,53.155,54.14,51.285,50.15
100009,48.0,48.0,48.0,48.0,48.0,44.0,48.0,50.0,48.0,48.0,45.42,48.0,50.0,48.0,49.0,49.0,44.72,50.0,46.51,48.0,45.14,47.0,48.0,48.0
100010,50.5,50.5,50.5,50.5,50.5,50.5,48.575,47.42,49.5,49.5,47.0,50.0,50.0,48.5,50.5,49.5,48.0,50.5,52.0,37.5,49.9,50.5,50.5,50.5
100011,56.0,56.0,56.0,56.0,56.0,54.205,51.66,54.0,55.56,54.25,55.405,54.54,53.93,51.5,52.685,55.565,55.04,56.97,55.5,55.0,53.685,54.065,56.0,56.0
100012,57.0,57.0,57.0,57.0,57.0,56.27,55.14,55.5,54.63,55.89,55.865,54.565,57.0,56.5,55.225,56.895,56.61,56.84,57.0,56.0,57.425,56.845,57.0,57.0
100013,53.425,53.5,53.5,53.5,54.19,51.535,54.455,52.57,50.85,47.725,48.73,50.755,50.755,47.265,48.5,47.025,49.805,52.05,53.23,53.0,52.92,54.84,52.83,53.5
100014,51.975,52.0,52.0,52.0,50.71,52.935,49.975,48.08,44.62000000000001,50.86,49.85,52.290000000000006,51.78,49.665000000000006,50.39,45.52500000000001,51.32,50.935,52.475,52.345,51.425,52.355,51.325,52.0
100015,49.5,49.5,49.5,49.5,49.5,50.055,49.725,46.235,46.595,46.18,49.37000000000001,48.96,48.35,47.915000000000006,47.165,46.99500000000001,46.02,50.1,48.2,47.425,47.5,49.0,50.13,49.5
100016,44.5,44.5,44.5,44.5,44.5,46.315,43.375,37.29,37.345,38.405,43.75,43.11,43.09,40.09,38.335,38.44,36.145,44.055,42.46,43.33,41.48,43.5,45.18,44.5
100017,40.0,40.0,40.0,40.0,40.165,43.31,38.38,34.235,32.055,34.730000000000004,35.23000000000001,38.465,37.595,35.24,32.115,30.715,34.705,34.545,36.49500000000001,38.115,39.205,38.84,38.065,39.96
