FID,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,X,Y,Name,num_L1,num_L2,num_DC
0,2,0.433469666790000,0.004866340380000,Jamaica Bay,2,Queens,-73.831299929799997,40.616753535299999,Queens,0,0,0
1,3,0.084341105900000,0.000314414160000,Allerton/Pelham Gardens,3,Bronx,-73.847423639300004,40.864481976400000,Bronx,0,0,0
2,4,0.043566527090000,0.000111871950000,Alphabet City,4,Manhattan,-73.976969696799998,40.723760401100002,Downtown Manhattan,0,0,0
3,5,0.092146489860000,0.000497957490000,Arden Heights,5,Staten Island,-74.188485599000003,40.552667505499997,Staten Island,0,0,0
4,6,0.150490542520000,0.000606460980000,Arrochar/Fort Wadsworth,6,Staten Island,-74.071772021699999,40.600332378099999,Staten Island,0,0,0
5,7,0.107417171120000,0.000389787990000,Astoria,7,Queens,-73.919695743299997,40.761500831100001,Queens,0,12,0
6,8,0.027590691160000,0.000026587720000,Astoria Park,8,Queens,-73.923087583400005,40.778566925900002,Queens,0,0,0
7,9,0.099784092470000,0.000338443800000,Auburndale,9,Queens,-73.787950258699993,40.751043297099997,Queens,0,0,1
8,10,0.099839479420000,0.000435823820000,Baisley Park,10,Queens,-73.790987737500004,40.678961567400002,Queens,0,0,0
9,11,0.079211038960000,0.000264520540000,Bath Beach,11,Brooklyn,-74.007489600400007,40.604281075099998,Brooklyn,0,0,0
10,12,0.036661301360000,0.000041511620000,Battery Park,12,Manhattan,-74.015564963499997,40.702954089099997,Downtown Manhattan,0,0,0
11,13,0.050281322860000,0.000149358590000,Battery Park City,13,Manhattan,-74.016080603600003,40.712046413000003,Downtown Manhattan,0,24,0
12,14,0.175213698050000,0.001381778260000,Bay Ridge,14,Brooklyn,-74.029893825000002,40.624843161900003,Brooklyn,0,6,0
13,15,0.144336222620000,0.000925219400000,Bay Terrace/Fort Totten,15,Queens,-73.785973661000000,40.783341325199999,Queens,0,0,0
14,16,0.141291873770000,0.000871889450000,Bayside,16,Queens,-73.773423195899994,40.762746649800000,Queens,0,1,0
15,17,0.093522632950000,0.000322957650000,Bedford,17,Brooklyn,-73.949906464300000,40.691515749099999,Brooklyn,0,0,0
16,18,0.069799549860000,0.000148850160000,Bedford Park,18,Bronx,-73.890184709500005,40.867690746800001,Bronx,0,3,0
17,19,0.101824875450000,0.000546661090000,Bellerose,19,Queens,-73.726656735700004,40.735495050399997,Queens,0,0,0
18,20,0.051440192440000,0.000134512630000,Belmont,20,Bronx,-73.885868899900004,40.857787964400003,Bronx,0,0,0
19,21,0.115973569060000,0.000380251350000,Bensonhurst East,21,Brooklyn,-73.983538531299999,40.601437675200003,Brooklyn,0,0,0
20,22,0.126170229200000,0.000472062680000,Bensonhurst West,22,Brooklyn,-73.995260018899998,40.612226494799998,Brooklyn,0,0,0
21,23,0.290556028960000,0.002195565760000,Bloomfield/Emerson Hill,23,Staten Island,-74.170888376400001,40.606455930800003,Staten Island,0,1,0
22,24,0.046999961930000,0.000060723570000,Bloomingdale,24,Manhattan,-73.965480956099995,40.801978769199998,Upper West Side,0,0,0
23,25,0.047145819930000,0.000124168270000,Boerum Hill,25,Brooklyn,-73.986115262599995,40.685641993099999,Brooklyn,0,15,0
24,26,0.123547807070000,0.000534039930000,Borough Park,26,Brooklyn,-73.988662668800004,40.630957896200002,Brooklyn,0,0,0
25,27,0.202508808520000,0.001340887630000,Breezy Point/Fort Tilden/Riis Beach,27,Queens,-73.906909729899994,40.559141509200003,Queens,0,0,0
26,28,0.097960782210000,0.000291203930000,Briarwood/Jamaica Hills,28,Queens,-73.808730401600002,40.711604620999999,Queens,0,1,0
27,29,0.071408312770000,0.000201673840000,Brighton Beach,29,Brooklyn,-73.961218194899999,40.580930203999998,Brooklyn,0,1,0
28,30,0.094509766980000,0.000145862110000,Broad Channel,30,Queens,-73.821928339799996,40.603695683500000,Queens,0,0,0
29,31,0.096424566650000,0.000333975930000,Bronx Park,31,Bronx,-73.875477365999998,40.857754970300000,Bronx,0,8,0
30,32,0.054267216010000,0.000150879170000,Bronxdale,32,Bronx,-73.864902411200006,40.864010497000002,Bronx,0,0,0
31,33,0.053270293200000,0.000147416800000,Brooklyn Heights,33,Brooklyn,-73.995251564000000,40.695806474699999,Brooklyn,0,17,0
32,34,0.065705932350000,0.000173946150000,Brooklyn Navy Yard,34,Brooklyn,-73.971190128999993,40.700863993799999,Brooklyn,0,10,0
33,35,0.085787918590000,0.000323825200000,Brownsville,35,Brooklyn,-73.910259246300001,40.664011368099999,Brooklyn,0,0,0
34,36,0.087050786710000,0.000247666140000,Bushwick North,36,Brooklyn,-73.917711950799998,40.700530456599999,Brooklyn,0,0,0
35,37,0.142810040470000,0.000452062640000,Bushwick South,37,Brooklyn,-73.922241442300006,40.695002574299998,Brooklyn,0,0,0
36,38,0.083217568520000,0.000327392680000,Cambria Heights,38,Queens,-73.735555631400004,40.694349729400003,Queens,0,0,0
37,39,0.132369620760000,0.000900282940000,Canarsie,39,Brooklyn,-73.899736366699997,40.638045384599998,Brooklyn,0,0,0
38,40,0.051850664880000,0.000108949210000,Carroll Gardens,40,Brooklyn,-73.995957634199996,40.679207264299997,Brooklyn,0,7,0
