FID,OBJECTID,num_L1,num_L2,num_DC,num_Bus
1,1,0,0,0,10
2,2,0,0,0,10
3,3,0,10,0,10
4,4,0,0,0,10
5,5,0,0,0,10
6,6,0,10,0,10
7,7,0,0,0,10
8,8,0,0,0,10
9,9,0,0,0,10
10,10,0,0,0,10
11,11,0,0,0,10
12,12,0,0,0,10
13,13,0,0,0,10
14,14,0,0,0,10
15,15,0,0,0,10
16,16,0,0,0,10
17,17,0,0,0,10
18,18,0,0,0,10
19,19,0,0,0,10
20,20,0,0,0,10
21,21,0,0,0,10
22,22,0,0,0,10
23,23,0,0,0,10
24,24,0,0,0,10
25,25,0,0,0,10
26,26,0,0,0,10
27,27,0,0,0,10
28,28,0,0,0,10
29,29,0,0,0,10
30,30,0,0,0,10
31,31,0,0,0,10
32,32,0,0,0,10
33,33,0,0,0,10
34,34,0,0,0,10
35,35,0,0,0,10
36,36,0,10,0,10
37,37,0,0,0,10
38,38,0,10,0,10
39,39,0,0,0,10
40,40,0,10,0,10
41,41,0,0,0,10
42,42,0,10,0,10
43,43,0,0,0,10
44,44,0,0,0,10
45,45,0,0,0,10
46,46,0,10,0,10
47,47,0,10,0,10
48,48,0,0,0,10
49,49,0,0,0,10
50,50,0,0,0,10
51,51,0,0,0,10
52,52,0,0,0,10
53,53,0,0,0,10
54,54,0,0,0,10
55,55,0,0,0,10
56,56,0,0,0,10
57,57,0,0,0,10
58,58,0,0,0,10
59,59,0,10,0,10
60,60,0,0,0,10
61,61,0,0,0,10
62,62,0,0,0,10
63,63,0,10,0,10
64,64,0,0,0,10
65,65,0,0,0,10
66,66,0,10,0,10
67,67,0,0,0,10
68,68,0,0,0,10
69,69,0,0,0,10
70,70,0,0,0,10
71,71,0,0,0,10
72,72,0,0,0,10
73,73,0,0,0,10
74,74,0,0,0,10
75,75,0,0,0,10
76,76,0,0,0,10
77,77,0,0,0,10
78,78,0,0,0,10
79,79,0,0,0,10
80,80,0,0,0,10
81,81,0,0,0,10
82,82,0,0,0,10
83,83,0,0,0,10
84,84,0,0,0,10
85,85,0,0,0,10
86,86,0,0,0,10
87,87,0,10,0,10
88,88,0,0,0,10
89,89,0,0,0,10
90,90,0,10,0,10
91,91,0,0,0,10
92,92,0,0,0,10
93,93,0,0,0,10
94,94,0,0,0,10
95,95,0,10,0,10
96,96,0,0,0,10
97,97,0,0,0,10
98,98,0,0,0,10
99,99,0,0,0,10
100,100,0,0,0,10
101,101,0,0,0,10
102,102,0,10,0,10
103,103,0,0,0,10
104,104,0,0,0,10
105,105,0,0,0,10
106,106,0,0,0,10
107,107,0,0,0,10
108,108,0,0,0,10
109,109,0,0,0,10
110,110,0,0,0,10
111,111,0,0,0,10
112,112,0,0,0,10
113,113,0,0,0,10
114,114,0,0,0,10
115,115,0,0,0,10
116,116,0,0,0,10
117,117,0,0,0,10
118,118,0,0,0,10
119,119,0,0,0,10
120,120,0,0,0,10
121,121,0,0,0,10
