FID,OBJECTID,num_L1,num_L2,num_DC,num_Bus
0,2,0,0,0,0
1,3,0,0,0,0
2,4,0,0,0,0
3,5,0,0,0,0
4,6,0,0,0,0
5,7,0,12,0,0
6,8,0,0,0,0
7,9,0,0,1,0
8,10,0,0,0,0
9,11,0,0,0,0
10,12,0,0,0,0
11,13,0,24,0,0
12,14,0,6,0,0
13,15,0,0,0,0
14,16,0,1,0,0
15,17,0,0,0,0
16,18,0,3,0,0
17,19,0,0,0,0
18,20,0,0,0,0
19,21,0,0,0,0
20,22,0,0,0,0
21,23,0,1,0,0
22,24,0,0,0,0
23,25,0,15,0,0
24,26,0,0,0,0
25,27,0,0,0,0
26,28,0,1,0,0
27,29,0,1,0,0
28,30,0,0,0,0
29,31,0,8,0,0
30,32,0,0,0,0
31,33,0,17,0,0
32,34,0,10,0,0
33,35,0,0,0,0
34,36,0,0,0,0
35,37,0,0,0,0
36,38,0,0,0,0
37,39,0,0,0,0
38,40,0,7,0,0
39,41,0,3,0,0
40,42,0,4,0,0
41,43,0,1,0,0
42,44,0,0,12,0
43,45,0,0,0,0
44,47,0,0,0,0
45,48,0,18,0,0
46,49,0,6,0,0
47,50,0,12,1,0
48,51,0,0,12,0
49,52,0,0,0,0
50,53,0,8,0,0
51,54,0,0,0,0
52,55,0,0,0,0
53,56,0,0,0,0
54,57,0,0,0,0
55,58,0,0,0,0
56,59,0,0,0,0
57,60,0,0,0,0
58,61,0,2,0,0
59,62,0,0,0,0
60,63,0,1,0,0
61,64,0,0,0,0
62,65,0,32,0,0
63,66,0,8,0,0
64,67,0,0,0,0
65,68,0,11,0,0
66,69,0,0,0,0
67,70,0,2,0,0
68,71,0,0,0,0
69,72,0,0,0,0
70,73,0,0,0,0
71,74,0,0,0,0
72,75,0,13,0,0
73,76,0,0,0,0
74,77,0,0,0,0
75,78,0,0,0,0
76,79,0,9,0,0
77,80,0,0,0,0
78,81,0,0,0,0
79,82,0,1,13,0
80,83,0,4,0,0
81,84,0,6,0,0
82,85,0,0,0,0
83,86,0,0,0,0
84,87,0,10,0,0
85,88,0,0,0,0
86,89,0,0,0,0
87,90,0,17,0,0
88,91,0,0,0,0
89,92,0,24,7,0
90,93,0,0,0,0
91,94,0,0,0,0
92,95,0,18,0,0
93,96,0,0,0,0
94,97,0,14,12,0
95,98,0,0,0,0
96,99,0,0,0,0
97,100,0,2,0,0
98,101,0,0,0,0
99,102,0,0,10,0
100,106,0,11,0,0
101,107,0,17,0,0
102,108,0,0,0,0
103,109,0,0,0,0
104,110,0,0,0,0
105,111,0,0,0,0
106,112,0,15,0,0
107,113,0,23,0,0
108,114,0,7,0,0
109,115,0,0,0,0
110,116,0,0,0,0
111,117,0,0,0,0
112,118,0,10,0,0
113,119,0,0,0,0
114,120,0,0,0,0
115,121,0,0,0,0
116,122,0,0,0,0
117,123,0,0,0,0
118,124,0,0,0,0
119,125,0,1,0,0
120,126,0,0,0,0
121,127,0,8,0,0
122,128,0,0,0,0
123,129,0,6,1,0
124,130,0,10,0,0
125,131,0,0,0,0
126,132,0,10,12,10
127,133,0,0,0,0
128,134,0,9,0,0
129,135,0,2,0,0
130,136,0,0,0,0
131,137,0,13,0,0
132,138,0,9,0,10
133,139,0,0,0,0
134,140,0,20,0,0
135,141,0,38,0,0
136,142,0,25,0,0
137,143,0,15,0,0
138,144,0,3,2,0
139,145,0,32,0,0
140,146,0,6,0,0
141,147,0,0,0,0
142,148,0,15,4,0
143,149,0,0,0,0
144,150,0,0,0,0
145,151,0,18,0,0
146,152,0,0,0,0
147,153,0,0,0,0
148,154,0,0,0,0
149,155,0,0,0,0
150,156,0,0,1,0
151,157,0,3,0,0
152,158,0,23,0,0
153,159,0,3,0,0
154,160,0,0,0,0
155,161,0,11,0,0
156,162,0,7,0,0
157,163,0,24,0,0
158,164,0,14,0,0
159,165,0,0,0,0
160,166,0,15,0,0
161,167,0,0,0,0
162,168,0,0,0,0
163,169,0,0,0,0
164,170,0,28,0,0
165,171,0,0,0,0
166,172,0,0,0,0
167,173,0,0,0,0
168,174,0,9,0,0
169,175,0,0,0,0
170,176,0,0,0,0
171,177,0,2,0,0
172,178,0,0,0,0
173,179,0,0,0,0
174,180,0,1,0,0
175,181,0,11,0,0
176,182,0,0,0,0
177,183,0,2,0,0
178,184,0,0,0,0
179,185,0,0,0,0
180,186,0,4,0,10
181,187,0,0,0,0
182,188,0,4,0,0
183,189,0,4,0,0
184,190,0,0,10,0
185,191,0,0,0,0
186,192,0,2,0,0
187,193,0,0,0,0
188,194,0,0,0,0
189,195,0,4,0,0
190,196,0,5,0,0
191,197,0,2,0,0
192,198,0,2,0,0
193,199,0,0,0,0
194,200,0,0,0,0
195,201,0,0,0,0
196,202,0,8,0,0
197,203,0,0,0,0
198,204,0,0,0,0
199,205,0,0,0,0
200,206,0,5,0,0
201,207,0,0,0,0
202,208,0,0,0,0
203,209,0,7,0,0
204,210,0,2,0,0
205,211,0,8,0,0
206,212,0,0,0,0
207,213,0,4,0,0
208,214,0,9,0,0
209,215,0,0,0,0
210,216,0,0,0,0
211,217,0,0,0,0
212,218,0,0,0,0
213,219,0,0,0,0
214,220,0,8,0,0
215,221,0,0,0,0
216,222,0,0,0,0
217,223,0,8,0,0
218,224,0,0,0,0
219,225,0,0,0,0
220,226,0,6,0,0
221,227,0,0,0,0
222,228,0,4,0,0
223,229,0,37,0,0
224,230,0,30,0,0
225,231,0,26,0,0
226,232,0,3,0,0
