LaneID,LinkID,Left,Through,Right,Length(m)
1000006,100000,0,0,1000042,9.686180109747676
1000002,100000,0,1000051,0,9.686173801006825
1000003,100000,0,1000052,0,9.686167493274796
1000004,100000,0,1000053,0,9.686161183508007
1000005,100000,0,1000054,0,9.686154874750036
1000001,100000,0,0,0,9.68614856598636
1000011,100001,1000071,1000061,0,213.25550666860497
1000012,100001,0,1000062,0,213.5044460219147
1000024,100002,0,0,1000092,1903.0229665913378
1000022,100002,0,1000081,0,1910.1213295287516
1000023,100002,0,1000082,0,1917.5499574706078
1000021,100002,0,0,0,1925.2532049026572
1000032,100003,0,1000021,0,9.686192728455788
1000033,100003,0,1000022,0,9.686199035935982
1000034,100003,0,1000023,0,9.686205344883007
1000035,100003,0,1000024,0,9.686211653366314
1000031,100003,1000011,0,0,9.686217962072922
1000036,100003,0,0,0,9.68622427077382
1000042,100004,0,1000122,1000113,213.23275093765113
1000041,100004,0,1000121,0,213.19115923248398
1000052,100005,0,1000151,0,12.71605272682324
1000053,100005,0,1000152,0,12.717946035595197
1000054,100005,0,1000153,0,12.719839342092616
1000055,100005,0,1000154,0,12.721732646815259
1000051,100005,1000141,0,0,12.723625949084685
1000056,100005,0,0,0,12.725519248542227
1000061,100006,0,1000161,0,52.01389075290076
1000062,100006,0,1000162,0,55.28251616381904
1000072,100007,0,1000121,0,8.338179410832348
1000071,100007,0,0,0,8.338173738600654
1000073,100007,0,0,0,8.338168067009605
1000082,100008,0,1000171,0,11.150545703708726
1000083,100008,0,1000172,0,11.207128347536386
1000081,100008,0,0,0,11.263710972297991
1000084,100008,0,0,0,11.320293577123609
1000085,100008,0,0,0,11.376876162251172
1000092,100009,0,1000192,1000205,258.60977695382314
1000091,100009,0,1000191,0,258.6399037151692
1000104,100010,0,0,1000012,1888.6007316524233
1000102,100010,0,1000001,0,1881.0113628603733
1000103,100010,0,1000002,0,1873.5679401538378
1000101,100010,0,0,0,1866.2870056074005
1000112,100011,0,1000061,0,8.338190756697102
1000111,100011,0,0,0,8.338196429298534
1000113,100011,0,0,0,8.338202101508992
1000121,100012,0,1000161,0,45.1697428639582
1000122,100012,0,1000162,0,45.16978527247646
1000132,100013,0,1000031,0,12.71226609755239
1000133,100013,0,1000032,0,12.710372779845414
1000134,100013,0,1000033,0,12.708479460005316
1000135,100013,0,1000034,0,12.706586137711453
1000131,100013,1000041,0,0,12.704692810889838
1000136,100013,0,0,0,12.702799483510264
1000141,100014,0,1000211,0,182.71794298332472
1000142,100014,0,1000212,0,182.60351738456106
1000152,100015,0,1000231,0,7.868378750664768
1000153,100015,0,1000232,0,7.868373327333705
1000154,100015,0,1000233,0,7.868367901923552
1000155,100015,0,1000234,0,7.868362478402256
1000151,100015,1000241,0,0,7.868357052981841
1000156,100015,0,0,0,7.868351629810218
1000162,100016,0,1000252,1000262,673.1415925552872
1000161,100016,0,1000251,0,672.7182695110386
1000172,100017,0,1000272,1000282,231.19795913785646
1000171,100017,0,1000271,0,231.13822264206001
1000184,100018,0,1000101,0,11.037380372615356
1000182,100018,0,1000102,0,10.980797689595413
1000183,100018,0,1000103,0,10.924214991632212
1000181,100018,1000091,0,0,10.867632283764625
1000185,100018,0,0,0,10.811049563997095
1000191,100019,1000291,1000301,0,74.34226101402992
1000192,100019,0,1000302,0,74.34229343017539
1000202,100020,0,1000311,0,17.27259601521466
1000203,100020,0,1000312,0,17.378021867993503
1000201,100020,0,0,0,17.483447867180164
1000204,100020,0,0,0,17.588874003952462
1000205,100020,0,0,0,17.694300264435178
1000211,100021,1004231,1004221,0,441.86825012923117
1000212,100021,0,1004222,0,440.9154316671922
1000226,100022,0,0,1000142,7.868389600242468
1000224,100022,0,1000131,0,7.868395024775085
1000225,100022,0,1000132,0,7.868400449122601
1000222,100022,0,1000133,0,7.868405873464984
1000223,100022,0,1000134,0,7.868411297622266
1000221,100022,0,0,0,7.868416720917404
1000236,100023,0,0,1004264,691.3064064198386
1000232,100023,0,1004241,0,691.3786666185966
1000233,100023,0,1004242,0,691.4509267207409
1000234,100023,0,1004243,0,691.5231867285545
1000235,100023,0,1004244,0,691.595446638721
1000231,100023,0,0,0,691.6677064498269
1000241,100024,0,1000211,0,191.50738459666536
1000242,100024,0,1000212,0,194.94997394461228
1000251,100025,1004271,1004281,0,11.062196151056586
1000252,100025,0,1004282,0,11.042332289367744
1000261,100026,1004291,1004301,0,582.1802475231779
1000262,100026,0,1004302,0,582.2235065053499
1000272,100027,0,1000342,1000332,12.062972996475544
1000271,100027,0,1000341,0,11.986950326091488
1000281,100028,0,1000351,0,330.39238705160744
1000282,100028,0,1000352,0,330.4443178250644
1000292,100029,0,1000361,0,9.226447929767406
1000293,100029,0,1000362,0,8.825494633711271
1000294,100029,0,1000363,0,8.424661841434975
1000291,100029,0,0,0,8.02398897256731
1000295,100029,0,0,0,7.623534779172386
1000301,100030,1000391,1000381,0,264.343045445375
1000302,100030,0,1000382,0,264.46891391578356
1000311,100031,1000181,1000171,0,247.400204709354
1000312,100031,0,1000172,0,247.4230546987439
1000322,100032,0,1000191,0,17.061744824036747
1000323,100032,0,1000192,0,16.956319571970376
1000321,100032,0,0,0,16.85089457992463
1000324,100032,0,0,0,16.74546986567801
1000325,100032,0,0,0,16.640045449037196
1004221,100422,0,1008091,0,175.76190356706002
1004222,100422,0,1008092,0,174.51754944314084
1004232,100423,0,1008081,0,9.508640286941837
1004231,100423,0,0,0,9.384233807993944
1004233,100423,0,0,0,9.259828513483665
1004246,100424,0,0,1008752,31.677459578856958
1004242,100424,0,1008761,0,31.67743777032747
1004243,100424,0,1008762,0,31.67741596159612
1004241,100424,0,0,0,31.677394152662902
1004244,100424,0,0,0,31.677372343890326
1004245,100424,0,0,0,31.677350535278393
1004256,100425,0,0,1000242,691.1618857216358
1004252,100425,0,1000221,0,691.089625225116
1004253,100425,0,1000222,0,691.0173646291136
1004254,100425,0,1000223,0,690.9451039370313
1004255,100425,0,1000224,0,690.8728431483844
1004251,100425,0,0,0,690.8005822648727
1004264,100426,0,0,1008792,810.2811952803082
1004262,100426,0,1008771,0,810.7417588111575
1004263,100426,0,1008772,0,811.2023514105025
1004261,100426,0,0,0,811.6629720559383
1004271,100427,1005231,1005241,0,13.26781798779447
1004272,100427,0,1005242,0,13.267632177380237
1004281,100428,0,1005251,0,330.244563266613
1004282,100428,0,1005252,0,330.24601897118936
1004291,100429,0,1004311,0,9.851298805138546
1004292,100429,0,1004312,0,9.851299261381655
1004302,100430,0,1000092,1000104,247.34367433530824
1004301,100430,1000081,1000091,0,247.34897298977273
1000332,100033,0,1004312,1004322,9.025472503549308
1000331,100033,0,1004311,0,9.025479249843666
1000343,100034,0,0,1004282,579.7743820215009
1000342,100034,0,1004271,0,579.7931711104435
1000341,100034,0,0,0,579.8119613086751
1000353,100035,0,0,1004342,231.01701387896432
1000352,100035,0,1004331,0,243.52362983005543
1000351,100035,0,0,0,256.0353108759762
1000363,100036,0,0,1000325,85.50192732985961
1000362,100036,0,1000311,0,85.50188930744987
1000361,100036,0,0,0,85.50185128589185
1000372,100037,0,1000301,0,10.028640837356177
1000373,100037,0,1000302,0,10.429852469035126
1000371,100037,0,0,0,10.83111517672208
1000374,100037,0,0,0,11.232418711827949
1000375,100037,0,0,0,11.63375541201647
1000382,100038,0,1001261,0,65.56374002385512
1000381,100038,1001271,0,0,65.56376951343798
1000383,100038,0,0,0,65.56379900340377
1000391,100039,0,1001241,0,10.40451491898221
1000392,100039,0,1001242,0,10.589954163612116
1004311,100431,1000271,1000281,0,7.366313080103472
1004312,100431,0,1000282,0,7.3663131068711385
1004321,100432,0,1004301,0,9.851297894486644
1004322,100432,0,1004302,0,9.851297437976756
1004332,100433,0,1005261,0,12.93201095729869
1004331,100433,0,0,0,13.911136814603143
1004333,100433,0,0,0,14.89102778364608
1004342,100434,0,1005282,1005272,484.1839279627317
1004341,100434,0,1005281,0,486.3974690782791
1001262,100126,0,1001231,0,18.805837011841724
1001261,100126,1001221,0,0,18.80584545174591
1001263,100126,0,0,0,18.80585389333212
1001271,100127,0,1001201,0,10.204569962185058
1001272,100127,0,1001202,0,10.181020359143016
1001242,100124,0,1000361,0,270.3225107789748
1001241,100124,1000371,0,0,270.41692748447
1001243,100124,0,0,0,270.51134452194174
1001251,100125,0,1000381,0,10.033640036648116
1001252,100125,0,1000382,0,9.848204945709275
1000401,100040,1000421,1000411,0,1191.296585203039
1000402,100040,0,1000412,0,1190.6634962396297
1000411,100041,0,1000431,0,307.16991076826713
1000412,100041,0,1000432,0,307.3652446137165
1000421,100042,0,1000441,0,453.86810582062657
1000422,100042,0,1000442,0,452.39573010197387
1000433,100043,0,0,1000463,15.094744169628727
1000432,100043,0,1000451,0,15.21239931963009
1000431,100043,0,0,0,15.330054607779223
1000441,100044,1000471,1000481,0,2931.8200300748194
1000442,100044,0,1000482,0,2937.075151550772
1000451,100045,1000501,1000491,0,1144.171848184431
1000452,100045,0,1000492,0,1155.1868055008554
1000462,100046,0,1000511,0,28.56346163364369
1000461,100046,0,0,0,26.742171465370454
1000463,100046,0,0,0,24.92265964345927
1000472,100047,0,1000521,0,148.23753033351338
1000471,100047,0,0,0,148.6367734033628
1000473,100047,0,0,0,149.03601695258874
1000482,100048,0,1000541,0,138.02636852090282
1000481,100048,1000531,0,0,141.1268483033551
1000483,100048,0,0,0,144.23148541478164
1000491,100049,0,1000551,0,42.9947854804059
1000492,100049,0,1000552,0,42.9948165324327
1000501,100050,1000561,1000571,0,829.5915667433635
1000502,100050,0,0,0,830.8156202378414
1000514,100051,0,0,1000593,13.938429326411201
1000512,100051,0,1000581,0,13.938429821925133
1000513,100051,0,1000582,0,13.93843031708051
1000511,100051,0,0,0,13.938430811877334
1000522,100052,0,1000611,0,120.33374385189957
1000521,100052,1000601,0,0,120.3501137816097
1000523,100052,0,0,0,120.36648382095107
1000531,100053,0,1000521,0,20.06760375827747
1000532,100053,0,1000522,0,20.067616971606107
1000541,100054,0,1000621,0,29.24848081216675
1000552,100055,0,1010012,1010022,208.79200719491126
1000551,100055,0,1010011,0,218.90612659462502
1000561,100056,0,1010031,0,815.108559588115
1000571,100057,1010041,1010051,0,266.3728122668936
1000582,100058,0,1009881,0,36.09513302085139
1000581,100058,0,0,0,36.04370959541163
1000583,100058,0,0,0,35.992286165706595
1000584,100058,0,0,0,35.94086273512644
1000592,100059,0,1000431,0,30.39864775728727
1000591,100059,0,0,0,31.071722517938355
1000593,100059,0,0,0,31.74499106649275
1000601,100060,1009931,1009941,0,25.09964389262487
1000602,100060,0,1009942,0,25.295270607042433
1000612,100061,0,1009961,0,109.111948487286
1000611,100061,1009951,0,0,109.16435150220303
1000613,100061,0,0,0,109.21675453559146
1000621,100062,1000601,1000611,0,112.3536419781894
1000622,100062,0,1000612,0,114.31648817498096
1010011,101001,0,1005111,0,24.36601823538626
1010012,101001,0,1005112,0,27.86946934708284
1010022,101002,0,1010842,1010853,21.091283298111023
1010021,101002,1010861,1010841,0,17.292944675383513
1010031,101003,0,1010871,0,760.1578658313476
1010032,101003,0,0,0,760.0506827168949
1010041,101004,1010891,1223531,1010904,226.98714087193122
1010051,101005,0,1010921,0,206.46274455537124
1009881,100988,0,1004491,1004504,869.312142503143
1009932,100993,0,1009971,0,71.01005488683732
1009931,100993,0,0,0,71.27246371765906
1009933,100993,0,0,0,71.53487444798122
1009941,100994,0,1009981,0,31.902721932042127
1009942,100994,0,1009982,0,32.82972780712462
1009951,100995,0,1009991,0,365.4909900034029
1009952,100995,0,1009992,0,363.9357403488336
1009961,100996,0,1010001,0,69.18215003424652
1000632,100063,0,1000651,0,142.59156893266618
1000633,100063,0,1000652,0,142.59155534076166
1000631,100063,1000661,0,0,142.59154174797993
1000634,100063,0,0,0,142.59152815659314
1000644,100064,0,0,1000673,161.5303531847936
1000642,100064,0,1000691,0,161.53047036601836
1000643,100064,0,1000692,0,161.53058754712765
1000641,100064,0,0,0,161.5307047281213
1000654,100065,0,0,1000714,148.59684356602915
1000652,100065,0,1000701,0,148.62352090914493
1000653,100065,0,1000702,0,148.65019825246995
1000651,100065,0,0,0,148.67687559655204
1000662,100066,0,1000401,0,21.963643982314117
1000661,100066,0,0,0,21.82243063628323
1000663,100066,0,0,0,21.681218244517815
1000672,100067,0,1000721,0,77.18730845430998
1000671,100067,1000731,0,0,77.18730826189284
1000673,100067,0,0,0,77.18730806877477
1000682,100068,0,1000631,0,161.53011882199732
1000683,100068,0,1000632,0,161.53000164042587
1000681,100068,0,0,0,161.52988445862337
1000684,100068,0,0,0,161.5297672768208
1000692,100069,0,1000741,0,134.54712855385236
1000691,100069,0,0,0,134.5661225179674
1000693,100069,0,0,0,134.5851165107352
1000702,100070,0,1000751,0,76.97795138802495
1000703,100070,0,1000752,0,76.97795153119935
1000701,100070,1000761,0,0,76.97795167437376
1000704,100070,0,0,0,76.97795181754816
1000714,100071,0,0,1000773,154.8566817280739
1000712,100071,0,1000781,0,154.9160343289394
1000713,100071,0,1000782,0,154.97538702137294
1000711,100071,0,0,0,155.0347398046523
1000722,100072,0,1000791,0,73.06458841198213
1000721,100072,1000801,0,0,73.06458790304134
1000723,100072,0,0,0,73.06458739500113
1000732,100073,0,1000811,0,135.13484746125863
1000731,100073,0,0,0,135.08869250253258
1000733,100073,0,0,0,135.04253747878204
1000742,100074,0,1000821,0,43.56888327996395
1000743,100074,0,1000822,0,43.568883397204374
1000741,100074,0,0,0,43.568883515845926
1000744,100074,0,0,0,43.56888363308633
1000754,100075,0,0,1000843,74.32724146232633
1000752,100075,0,1000831,0,74.32724172007948
1000753,100075,0,1000832,0,74.32724197815924
1000751,100075,0,0,0,74.32724223607566
1000762,100076,0,1000851,0,18.174381983261924
1000761,100076,0,0,0,18.28873787047575
1000763,100076,0,0,0,18.40309397170096
1000773,100077,0,0,1000874,151.73284719276967
1000772,100077,0,1000861,0,151.9417980330294
1000771,100077,0,0,0,152.1507489898234
1000781,100078,0,1000881,0,133.57556628709614
1000782,100078,0,1000882,0,133.53822458868655
1000792,100079,0,1000891,0,61.73573924166936
1000791,100079,0,0,0,61.73573881351902
1000793,100079,0,0,0,61.735738385368656
1000802,100080,0,1000901,0,60.01689572813841
1000801,100080,1000911,0,0,60.01693910079386
1000803,100080,0,0,0,60.016982473163786
1000814,100081,0,0,1000933,38.315993181897824
1000812,100081,0,1000921,0,38.31601513326793
1000813,100081,0,1000922,0,38.31603708407678
1000811,100081,0,0,0,38.31605903404411
1000824,100082,0,0,1000953,29.9871983617433
1000822,100082,0,1000941,0,29.987198434578513
1000823,100082,0,1000942,0,29.987198506712623
1000821,100082,0,0,0,29.987198578145627
1000832,100083,0,1000961,0,72.93893514132223
1000833,100083,0,1000962,0,72.93893542352777
1000831,100083,0,0,0,72.93893570730012
1000834,100083,0,0,0,72.93893598950562
1000843,100084,0,0,1000973,156.7168811467812
1000842,100084,0,1000981,0,156.77118442789384
1000841,100084,0,0,0,156.82548779075788
1000852,100085,0,1000401,0,225.56759667682888
1000851,100085,0,0,0,225.52105801351394
1000853,100085,0,0,0,225.47451934993728
1000862,100086,0,1001001,0,74.45448241558181
1000861,100086,1000991,0,0,74.45448227000207
1000863,100086,0,0,0,74.45448212315345
1000874,100087,0,0,1000654,155.40391576096545
1000872,100087,0,1000661,0,155.44698548361538
1000873,100087,0,1000662,0,155.49005513983167
1000871,100087,0,0,0,155.5331247369716
1000882,100088,0,1001011,0,72.33996399503812
1000883,100088,0,1001012,0,72.3399641578299
1000881,100088,1001021,0,0,72.33996432076292
1000884,100088,0,0,0,72.33996448341341
1000893,100089,0,0,1001053,70.12511013055186
1000892,100089,0,1001031,0,70.12510984572128
1000891,100089,1001041,0,0,70.12510956089066
1000902,100090,0,1001071,0,89.65110078180705
1000901,100090,1001061,0,0,89.65114131566861
1000903,100090,0,0,0,89.65118184998514
1000912,100091,0,1001081,0,79.264770789372
1000911,100091,0,0,0,79.29287866396918
1000913,100091,0,0,0,79.32098657857422
1000922,100092,0,1000741,0,42.02241083339659
1000923,100092,0,1000742,0,42.02241091838504
1000921,100092,0,0,0,42.022411003373485
1000924,100092,0,0,0,42.02241108836193
1000933,100093,0,0,1001094,132.01537427930316
1000932,100093,0,1001101,0,132.01544121602944
1000931,100093,0,0,0,132.0155081519842
1000942,100094,0,1001121,0,73.59976300745237
1000943,100094,0,1001122,0,73.59976317593556
1000941,100094,1001131,0,0,73.59976334441876
1000944,100094,0,0,0,73.59976351290193
1000952,100095,0,1001141,0,149.81888224990712
1000951,100095,0,0,0,149.81899249318693
1000953,100095,0,0,0,149.8191027364458
1000964,100096,0,0,1223424,72.7986085321021
1000962,100096,0,1223411,0,72.79860874617395
1000963,100096,0,1223412,0,72.79860896055486
1000961,100096,0,0,0,72.79860917548139
