Borough,LocationID,Capacity,Type
Queens,2,0,0
Bronx,3,0,0
Manhattan,4,0,0
Staten Island,5,0,0
Staten Island,6,0,0
Queens,7,0,0
Queens,8,0,0
Queens,9,0,0
Manhattan,24,0,0
Queens,10,0,0
Brooklyn,11,0,0
Manhattan,12,0,0
Manhattan,13,0,0
Bronx,18,0,0
Brooklyn,25,0,0
Brooklyn,14,0,0
Queens,15,0,0
Brooklyn,22,0,0
Staten Island,23,0,0
Queens,16,0,0
Brooklyn,17,0,0
Queens,19,0,0
Bronx,20,0,0
Brooklyn,21,0,0
Brooklyn,26,0,0
Queens,27,0,0
Queens,28,0,0
Brooklyn,33,0,0
Brooklyn,29,0,0
Bronx,31,0,0
Bronx,32,0,0
Queens,30,0,0
Brooklyn,34,0,0
Brooklyn,35,0,0
Brooklyn,36,0,0
Brooklyn,37,0,0
Queens,38,0,0
Brooklyn,39,0,0
Brooklyn,40,0,0
Manhattan,41,0,0
Manhattan,45,0,0
Manhattan,42,0,0
Manhattan,43,0,0
Staten Island,44,0,0
Bronx,47,0,0
Manhattan,48,0,0
Brooklyn,49,0,0
Manhattan,50,0,0
Bronx,51,0,0
Brooklyn,52,0,0
Queens,53,0,0
Brooklyn,54,0,0
Brooklyn,55,0,0
Queens,56,0,0
Queens,57,0,0
Bronx,58,0,0
Bronx,59,0,0
Bronx,60,0,0
Brooklyn,61,0,0
Brooklyn,62,0,0
Brooklyn,63,0,0
Queens,64,0,0
Brooklyn,65,0,0
Brooklyn,72,0,0
Brooklyn,66,0,0
Brooklyn,67,0,0
Manhattan,68,0,0
Queens,73,0,0
Bronx,69,0,0
Queens,70,0,0
Brooklyn,71,0,0
Manhattan,79,0,0
Brooklyn,80,0,0
Manhattan,74,0,0
Brooklyn,85,0,0
Queens,86,0,0
Manhattan,75,0,0
Brooklyn,76,0,0
Brooklyn,77,0,0
Bronx,78,0,0
Bronx,81,0,0
Manhattan,87,0,0
Queens,82,0,0
Queens,83,0,0
Staten Island,84,0,0
Manhattan,88,0,0
Brooklyn,89,0,0
Manhattan,90,0,0
Manhattan,125,0,0
Brooklyn,91,0,0
Queens,92,0,0
Queens,93,0,0
Bronx,94,0,0
Queens,95,0,0
Queens,96,0,0
Brooklyn,97,0,0
Queens,98,0,0
Staten Island,99,0,0
Manhattan,100,0,0
Queens,101,0,0
Queens,102,0,0
Brooklyn,106,0,0
Manhattan,107,0,0
Brooklyn,108,0,0
Staten Island,109,0,0
Staten Island,110,0,0
Brooklyn,111,0,0
Brooklyn,112,0,0
Manhattan,113,0,0
Manhattan,114,0,0
Staten Island,115,0,0
Manhattan,116,0,0
Queens,117,0,0
Staten Island,118,0,0
Bronx,119,0,0
Manhattan,120,0,0
Brooklyn,149,0,0
Brooklyn,150,0,0
Queens,121,0,0
Queens,122,0,0
Brooklyn,123,0,0
Queens,124,0,0
Bronx,126,0,0
Manhattan,127,0,0
Manhattan,128,0,0
Queens,129,0,0
Queens,134,0,0
Manhattan,151,0,0
Queens,130,0,0
Queens,139,0,0
Queens,131,0,0
Queens,132,-1,1
Brooklyn,133,0,0
Manhattan,140,0,0
Queens,135,0,0
Bronx,136,0,0
Manhattan,137,0,0
Manhattan,141,0,0
Manhattan,142,0,0
Manhattan,152,0,0
Queens,138,-1,1
Manhattan,143,0,0
Manhattan,144,0,0
Queens,145,0,0
Queens,146,0,0
Bronx,147,0,0
Manhattan,148,0,0
Manhattan,153,0,0
Brooklyn,154,0,0
Brooklyn,155,0,0
Staten Island,156,0,0
Bronx,159,0,0
Queens,157,0,0
Manhattan,158,0,0
Queens,160,0,0
Manhattan,161,0,0
Manhattan,162,0,0
Manhattan,163,0,0
Manhattan,164,0,0
Manhattan,170,0,0
Brooklyn,165,0,0
Manhattan,166,0,0
Bronx,167,0,0
Brooklyn,178,0,0
Bronx,168,0,0
Bronx,169,0,0
Queens,171,0,0
Staten Island,172,0,0
Queens,173,0,0
Bronx,174,0,0
Queens,175,0,0
Queens,179,0,0
Staten Island,176,0,0
Brooklyn,177,0,0
Queens,180,0,0
Brooklyn,181,0,0
Bronx,182,0,0
Bronx,183,0,0
Bronx,184,0,0
Bronx,185,0,0
Manhattan,186,-1,1
Brooklyn,189,0,0
Brooklyn,190,0,0
Staten Island,187,0,0
Brooklyn,188,0,0
Queens,191,0,0
Queens,192,0,0
Queens,193,0,0
Manhattan,194,0,0
Queens,196,0,0
Brooklyn,195,0,0
Queens,203,0,0
Queens,197,0,0
Queens,198,0,0
Bronx,199,0,0
Bronx,212,0,0
Bronx,213,0,0
Bronx,200,0,0
Staten Island,204,0,0
Queens,201,0,0
Manhattan,202,0,0
Queens,205,0,0
Staten Island,206,0,0
Queens,207,0,0
Bronx,208,0,0
Manhattan,209,0,0
Brooklyn,210,0,0
Manhattan,211,0,0
Staten Island,214,0,0
Queens,215,0,0
Queens,216,0,0
Brooklyn,217,0,0
Queens,218,0,0
Queens,219,0,0
Brooklyn,225,0,0
Bronx,220,0,0
Manhattan,224,0,0
Queens,226,0,0
Staten Island,221,0,0
Brooklyn,222,0,0
Queens,223,0,0
Brooklyn,227,0,0
Brooklyn,228,0,0
Manhattan,229,0,0
Manhattan,230,0,0
Manhattan,231,0,0
Manhattan,239,0,0
Manhattan,232,0,0
Manhattan,233,0,0
Manhattan,234,0,0
Bronx,235,0,0
Manhattan,236,0,0
Manhattan,237,0,0
Manhattan,238,0,0
Bronx,240,0,0
Bronx,241,0,0
Queens,258,0,0
Bronx,242,0,0
Staten Island,245,0,0
Manhattan,263,0,0
Manhattan,243,0,0
Manhattan,244,0,0
Queens,253,0,0
Manhattan,246,0,0
Bronx,247,0,0
Bronx,248,0,0
Manhattan,249,0,0
Brooklyn,257,0,0
Bronx,250,0,0
Staten Island,251,0,0
Queens,252,0,0
Bronx,254,0,0
Brooklyn,255,0,0
Brooklyn,256,0,0
Bronx,259,0,0
Queens,260,0,0
Manhattan,261,0,0
Manhattan,262,0,0
