Borough,LocationID,Capacity,Type
Queens,2,-1,0
Bronx,3,-1,0
Manhattan,4,-1,0
Staten Island,5,-1,0
Staten Island,6,-1,0
Queens,7,-1,0
Queens,8,-1,0
Queens,9,-1,0
Manhattan,24,-1,0
Queens,10,-1,0
Brooklyn,11,-1,0
Manhattan,12,-1,0
Manhattan,13,-1,0
Bronx,18,-1,0
Brooklyn,25,-1,0
Brooklyn,14,-1,0
Queens,15,-1,0
Brooklyn,22,-1,0
Staten Island,23,-1,0
Queens,16,-1,0
Brooklyn,17,-1,0
Queens,19,-1,0
Bronx,20,-1,0
Brooklyn,21,-1,0
Brooklyn,26,-1,0
Queens,27,-1,0
Queens,28,-1,0
Brooklyn,33,-1,0
Brooklyn,29,-1,0
Bronx,31,-1,0
Bronx,32,-1,0
Queens,30,-1,0
Brooklyn,34,-1,0
Brooklyn,35,-1,0
Brooklyn,36,-1,0
Brooklyn,37,-1,0
Queens,38,-1,0
Brooklyn,39,-1,0
Brooklyn,40,-1,0
Manhattan,41,-1,0
Manhattan,45,-1,0
Manhattan,42,-1,0
Manhattan,43,-1,0
Staten Island,44,-1,0
Bronx,47,-1,0
Manhattan,48,-1,0
Brooklyn,49,-1,0
Manhattan,50,-1,0
Bronx,51,-1,0
Brooklyn,52,-1,0
Queens,53,-1,0
Brooklyn,54,-1,0
Brooklyn,55,-1,0
Queens,56,-1,0
Queens,57,-1,0
Bronx,58,-1,0
Bronx,59,-1,0
Bronx,60,-1,0
Brooklyn,61,-1,0
Brooklyn,62,-1,0
Brooklyn,63,-1,0
Queens,64,-1,0
Brooklyn,65,-1,0
Brooklyn,72,-1,0
Brooklyn,66,-1,0
Brooklyn,67,-1,0
Manhattan,68,-1,0
Queens,73,-1,0
Bronx,69,-1,0
Queens,70,-1,0
Brooklyn,71,-1,0
Manhattan,79,-1,0
Brooklyn,80,-1,0
Manhattan,74,-1,0
Brooklyn,85,-1,0
Queens,86,-1,0
Manhattan,75,-1,0
Brooklyn,76,-1,0
Brooklyn,77,-1,0
Bronx,78,-1,0
Bronx,81,-1,0
Manhattan,87,-1,0
Queens,82,-1,0
Queens,83,-1,0
Staten Island,84,-1,0
Manhattan,88,-1,0
Brooklyn,89,-1,0
Manhattan,90,-1,0
Manhattan,125,-1,0
Brooklyn,91,-1,0
