Borough,LocationID,Capacity
Queens,2,-1
Bronx,3,-1
Manhattan,4,-1
Staten Island,5,-1
Staten Island,6,-1
Queens,7,-1
Queens,8,-1
Queens,9,-1
Manhattan,24,-1
Queens,10,-1
Brooklyn,11,-1
Manhattan,12,-1
Manhattan,13,-1
Bronx,18,-1
Brooklyn,25,-1
Brooklyn,14,-1
Queens,15,-1
Brooklyn,22,-1
Staten Island,23,-1
Queens,16,-1
Brooklyn,17,-1
Queens,19,-1
Bronx,20,-1
Brooklyn,21,-1
Brooklyn,26,-1
Queens,27,-1
Queens,28,-1
Brooklyn,33,-1
Brooklyn,29,-1
Bronx,31,-1
Bronx,32,-1
Queens,30,-1
Brooklyn,34,-1
Brooklyn,35,-1
Brooklyn,36,-1
Brooklyn,37,-1
Queens,38,-1
Brooklyn,39,-1
Brooklyn,40,-1
Manhattan,41,-1
Manhattan,45,-1
Manhattan,42,-1
Manhattan,43,-1
Staten Island,44,-1
Bronx,47,-1
Manhattan,48,-1
Brooklyn,49,-1
Manhattan,50,-1
Bronx,51,-1
Brooklyn,52,-1
Queens,53,-1
Brooklyn,54,-1
Brooklyn,55,-1
Queens,56,-1
Queens,57,-1
Bronx,58,-1
Bronx,59,-1
Bronx,60,-1
Brooklyn,61,-1
Brooklyn,62,-1
Brooklyn,63,-1
Queens,64,-1
Brooklyn,65,-1
Brooklyn,72,-1
Brooklyn,66,-1
Brooklyn,67,-1
Manhattan,68,-1
Queens,73,-1
Bronx,69,-1
Queens,70,-1
Brooklyn,71,-1
Manhattan,79,-1
Brooklyn,80,-1
Manhattan,74,-1
Brooklyn,85,-1
Queens,86,-1
Manhattan,75,-1
Brooklyn,76,-1
Brooklyn,77,-1
Bronx,78,-1
Bronx,81,-1
Manhattan,87,-1
Queens,82,-1
Queens,83,-1
Staten Island,84,-1
Manhattan,88,-1
Brooklyn,89,-1
Manhattan,90,-1
Manhattan,125,-1
Brooklyn,91,-1
Queens,92,-1
Queens,93,-1
Bronx,94,-1
Queens,95,-1
Queens,96,-1
Brooklyn,97,-1
Queens,98,-1
Staten Island,99,-1
Manhattan,100,-1
Queens,101,-1
Queens,102,-1
Brooklyn,106,-1
Manhattan,107,-1
Brooklyn,108,-1
Staten Island,109,-1
Staten Island,110,-1
Brooklyn,111,-1
Brooklyn,112,-1
Manhattan,113,-1
Manhattan,114,-1
Staten Island,115,-1
Manhattan,116,-1
Queens,117,-1
Staten Island,118,-1
Bronx,119,-1
Manhattan,120,-1
Brooklyn,149,-1
Brooklyn,150,-1
Queens,121,-1
Queens,122,-1
Brooklyn,123,-1
Queens,124,-1
Bronx,126,-1
Manhattan,127,-1
Manhattan,128,-1
Queens,129,-1
Queens,134,-1
Manhattan,151,-1
Queens,130,-1
Queens,139,-1
Queens,131,-1
Queens,132,-1
Brooklyn,133,-1
Manhattan,140,-1
Queens,135,-1
Bronx,136,-1
Manhattan,137,-1
Manhattan,141,-1
Manhattan,142,-1
Manhattan,152,-1
Queens,138,-1
Manhattan,143,-1
Manhattan,144,-1
Queens,145,-1
Queens,146,-1
Bronx,147,-1
Manhattan,148,-1
Manhattan,153,-1
Brooklyn,154,-1
Brooklyn,155,-1
Staten Island,156,-1
Bronx,159,-1
Queens,157,-1
Manhattan,158,-1
Queens,160,-1
Manhattan,161,-1
Manhattan,162,-1
Manhattan,163,-1
Manhattan,164,-1
Manhattan,170,-1
Brooklyn,165,-1
Manhattan,166,-1
Bronx,167,-1
Brooklyn,178,-1
Bronx,168,-1
Bronx,169,-1
Queens,171,-1
Staten Island,172,-1
Queens,173,-1
Bronx,174,-1
Queens,175,-1
Queens,179,-1
Staten Island,176,-1
Brooklyn,177,-1
Queens,180,-1
Brooklyn,181,-1
Bronx,182,-1
Bronx,183,-1
Bronx,184,-1
Bronx,185,-1
Manhattan,186,-1
Brooklyn,189,-1
Brooklyn,190,-1
Staten Island,187,-1
Brooklyn,188,-1
Queens,191,-1
Queens,192,-1
Queens,193,-1
Manhattan,194,-1
Queens,196,-1
Brooklyn,195,-1
Queens,203,-1
Queens,197,-1
Queens,198,-1
Bronx,199,-1
Bronx,212,-1
Bronx,213,-1
Bronx,200,-1
Staten Island,204,-1
Queens,201,-1
Manhattan,202,-1
Queens,205,-1
Staten Island,206,-1
Queens,207,-1
Bronx,208,-1
Manhattan,209,-1
Brooklyn,210,-1
Manhattan,211,-1
Staten Island,214,-1
Queens,215,-1
Queens,216,-1
Brooklyn,217,-1
Queens,218,-1
Queens,219,-1
Brooklyn,225,-1
Bronx,220,-1
Manhattan,224,-1
Queens,226,-1
Staten Island,221,-1
Brooklyn,222,-1
Queens,223,-1
Brooklyn,227,-1
Brooklyn,228,-1
Manhattan,229,-1
Manhattan,230,-1
Manhattan,231,-1
Manhattan,239,-1
Manhattan,232,-1
Manhattan,233,-1
Manhattan,234,-1
Bronx,235,-1
Manhattan,236,-1
Manhattan,237,-1
Manhattan,238,-1
Bronx,240,-1
Bronx,241,-1
Queens,258,-1
Bronx,242,-1
Staten Island,245,-1
Manhattan,263,-1
Manhattan,243,-1
Manhattan,244,-1
Queens,253,-1
Manhattan,246,-1
Bronx,247,-1
Bronx,248,-1
Manhattan,249,-1
Brooklyn,257,-1
Bronx,250,-1
Staten Island,251,-1
Queens,252,-1
Bronx,254,-1
Brooklyn,255,-1
Brooklyn,256,-1
Bronx,259,-1
Queens,260,-1
Manhattan,261,-1
Manhattan,262,-1
