LaneID,LinkID,Left,Through,Right,Length(m)
1000001,100000,1000061,1000581,0,6.352643068
1000021,100002,0,0,0,558.0757691
1000621,100062,1000611,1000641,0,1565.985621
1000622,100062,0,1000642,0,1567.006497
1000011,100001,1000621,1000021,0,6.35264307
1000061,100006,1000051,1000421,0,1794.97027
1000062,100006,0,1000422,0,1796.222827
1000582,100058,0,1000522,1000543,1527.231581
1000581,100058,0,1000521,0,1524.399429
1000032,100003,0,0,1000622,569.0775352
1000031,100003,0,1000001,0,574.578421
1000042,100004,0,1000031,0,936.7941883
1000041,100004,0,0,0,937.0786913
1000043,100004,0,0,0,937.3631945
1000292,100029,0,0,1000273,1393.690782
1000291,100029,0,1000251,0,1393.97142
1000052,100005,0,1000622,1000021,1792.628798
1000051,100005,1000001,1000621,0,1793.274503
1000421,100042,0,1000411,0,363.37629
1000422,100042,0,1000412,0,363.3449809
1000071,100007,0,1000131,1088843,54.77910526
1000194,100019,0,0,1000213,527.3653258
1000192,100019,0,1000201,0,527.7258928
1000193,100019,0,1000202,0,528.0864599
1000191,100019,0,0,0,528.4470273
1000081,100008,0,1000191,0,54.81605619
1000082,100008,0,1000192,0,54.83453164
1000131,100013,0,1000161,0,13.67934513
1000132,100013,0,1000162,0,13.67934537
1088842,108884,0,1088951,0,641.8105802
1088841,108884,1088831,0,0,642.7268514
1088843,108884,0,0,0,643.6431223
1000092,100009,0,1000231,0,10.31268953
1000091,100009,1000111,0,0,10.31269219
1000093,100009,0,0,0,10.31269485
1000101,100010,0,0,0,10.3126842
1000102,100010,0,0,0,10.31268153
1000112,100011,0,1000151,0,81.47142753
1000111,100011,1000121,0,0,82.74077596
1000113,100011,0,0,0,84.01012409
1000231,100023,0,1000241,0,531.0087303
1000232,100023,0,1000242,0,530.7708971
1000122,100012,0,1000091,0,83.55072186
1000121,100012,0,0,0,85.70707939
1000123,100012,0,0,0,87.863437
1000151,100015,0,1000141,0,5.095695813
1000141,100014,1088841,1000081,0,13.67934465
1000161,100016,0,1000121,0,5.095696111
1000162,100016,0,1000122,0,5.09569626
1000172,100017,0,1000211,0,10.0206222
1000173,100017,0,1000212,0,10.02062258
1000171,100017,1000201,0,0,10.02062297
1000174,100017,0,0,0,10.02062336
1088804,108880,0,0,1088763,1568.23415
1088802,108880,0,1088791,0,1565.104752
1088803,108880,0,1088792,0,1561.975355
1088801,108880,0,0,0,1558.845959
1000202,100020,0,1000391,0,48.44650875
1000203,100020,0,1000392,0,48.44652265
1000201,100020,1000261,0,0,48.44653654
1000204,100020,0,0,0,48.44655044
1000213,100021,0,0,1000221,96.91411344
1000212,100021,0,1000241,0,96.70603324
1000211,100021,0,0,0,96.49795301
1000182,100018,0,1088801,0,48.96355039
1000183,100018,0,1088802,0,48.96353666
1000181,100018,1000171,0,0,48.96352294
1000184,100018,0,0,0,48.96350921
1087062,108706,0,1087051,0,9495.538594
1087061,108706,0,0,0,9495.025794
1087063,108706,0,0,0,9494.512995
1000262,100026,0,1087061,0,10.90507292
1000263,100026,0,1087062,0,10.90507261
1000261,100026,1000181,0,0,10.9050723
1000264,100026,0,0,0,10.90507198
1000392,100039,0,1000401,0,700.5171937
1000393,100039,0,1000402,0,700.236501
1000391,100039,1000381,0,0,699.955808
1000394,100039,0,0,0,699.6751149
1000221,100022,0,1000101,1000113,531.4843964
1000241,100024,1000271,1000281,0,48.39862287
1000242,100024,0,1000282,0,48.39863501
1000251,100025,0,1000221,0,48.39859857
1000273,100027,0,0,1000394,92.74439831
1000272,100027,0,1000261,0,92.94226043
1000271,100027,0,0,0,93.14012253
1000281,100028,0,1000041,0,1393.129505
1000282,100028,0,1000042,0,1392.848867
1000301,100030,1000331,1000341,0,9.023520907
1000302,100030,0,1000342,0,9.023520906
1088772,108877,0,1088781,0,2268.803087
1088771,108877,0,0,0,2269.354918
1088773,108877,0,0,0,2269.906748
1000311,100031,0,1088771,0,9.023520905
1000333,100033,0,0,1000324,593.7078895
1000332,100033,0,1000491,0,594.7574326
1000331,100033,0,0,0,595.8069763
1000342,100034,0,0,1000364,57.63346128
1000341,100034,0,1000371,0,58.0295268
1000322,100032,0,1088771,0,593.8586336
1000323,100032,0,1088772,0,594.557546
1000321,100032,1000301,0,0,595.2564579
1000324,100032,0,0,0,595.9553693
1000491,100049,0,1000471,0,3165.710735
1000492,100049,0,1000472,0,3165.591817
1000351,100035,0,1000311,1000333,56.84133024
1000364,100036,0,0,1087063,705.0525318
1000362,100036,0,1000181,0,705.0362285
1000363,100036,0,1000182,0,705.0199252
1000361,100036,0,0,0,705.0036219
1000371,100037,0,1000401,0,11.05399027
1000381,100038,1000361,1000351,0,11.05399027
1000382,100038,0,0,0,11.05399026
1000402,100040,0,1000431,0,71.35604435
1000403,100040,0,1000432,0,71.42731087
1000401,100040,1000411,0,0,71.49857743
1000404,100040,0,0,0,71.56984402
1000413,100041,0,0,1000351,74.28601171
1000412,100041,0,1000361,0,75.95984082
1000411,100041,1000371,0,0,77.63366887
1000431,100043,0,1000051,0,363.4389081
1000432,100043,0,1000052,0,363.4702172
1000443,100044,0,0,1000722,130.9297748
1000442,100044,0,1000451,0,134.3370606
1000441,100044,0,0,0,137.7443463
1000504,100050,0,0,1000534,22.77987656
1000502,100050,0,1000461,0,22.77987035
1000503,100050,0,1000462,0,22.77986414
1000501,100050,0,0,0,22.77985793
1000453,100045,0,0,1000472,145.9912928
1000452,100045,0,1000481,0,145.5862978
1000451,100045,0,0,0,145.1813028
1000721,100072,0,1000711,0,1211.934578
1000722,100072,0,1000712,0,1209.49206
1000471,100047,0,1000531,0,13.81180646
1000472,100047,0,1000532,0,13.83508835
1000481,100048,0,1000321,0,3165.948572
1000482,100048,0,1000322,0,3166.067491
1000461,100046,0,1000481,0,13.76524274
1000462,100046,0,1000482,0,13.7419609
1000534,100053,0,0,1000592,10.6562899
1000532,100053,0,1000541,0,10.65629268
1000533,100053,0,1000542,0,10.65629547
1000531,100053,1000521,0,0,10.65629825
1000512,100051,0,1000502,1000443,46.91636368
1000511,100051,0,1000501,0,47.38770916
1000552,100055,0,1000572,1000562,25.82804754
1000551,100055,0,1000571,0,25.82804227
1000522,100052,0,1000442,1000504,19.18055672
1000521,100052,0,1000441,0,19.18055827
1000543,100054,0,0,1000572,36.59675812
1000542,100054,0,1000561,0,36.6589236
1000541,100054,0,0,0,36.72108913
1000592,100059,0,0,1000062,1532.895886
1000591,100059,0,1000011,0,1535.728037
1000561,100056,1000611,1000641,0,8.455820496
1000562,100056,0,1000642,0,8.455823573
1000572,100057,0,1000062,1000582,1554.924102
1000571,100057,1000011,1000061,0,1553.891976
1000611,100061,1000601,1000741,0,23.28875071
1000612,100061,0,1000742,0,23.28875511
1000642,100064,0,1000661,0,1981.545012
1000643,100064,0,1000662,0,1982.390238
1000641,100064,0,0,0,1983.235464
1000644,100064,0,0,0,1984.080691
1000601,100060,1000551,1000511,0,6.198455059
1000602,100060,0,1000512,0,6.198453082
1000741,100074,1000711,1000731,0,1323.984367
1000742,100074,0,1000732,0,1336.289264
1000634,100063,0,0,1000742,1955.465108
1000632,100063,0,1000601,0,1954.2568
1000633,100063,0,1000602,0,1953.048492
1000631,100063,0,0,0,1951.840186
1000651,100065,0,0,0,18.03266696
1000652,100065,0,0,0,18.03266709
1000671,100067,0,1000701,0,814.8028767
1000661,100066,1000631,1000671,0,18.03266669
1000662,100066,0,0,0,18.03266656
1000682,100068,0,1000652,1000634,818.0116786
1000681,100068,0,1000651,0,819.6160796
1000701,100070,0,1000761,0,33.4580363
1000691,100069,0,1000681,0,31.63074809
1000761,100076,0,1000771,1000802,535.8637184
1000711,100071,1000551,1000511,0,1257.221514
1000712,100071,0,1000512,0,1256.123531
1000731,100073,0,1000451,0,1216.819613
1000732,100073,0,1000452,0,1219.26213
1000751,100075,0,1000691,0,538.9697563
1000771,100077,0,0,0,21.49031424
1000801,100080,0,1000821,0,304.4278157
1000802,100080,0,0,0,304.6466398
1000781,100078,1000801,1000751,0,21.49030429
1000782,100078,0,0,0,21.49029931
1000791,100079,0,1000781,0,306.7820709
1000792,100079,0,1000782,0,306.5610344
1000811,100081,0,0,0,13.3935487
1000821,100082,0,1000791,0,13.39355737
1000831,100083,0,1000921,0,158.9290647
1000832,100083,0,1000922,0,158.7334912
1000942,100094,0,1003561,0,580.6721672
1000941,100094,0,0,0,580.6736326
1000943,100094,0,0,0,580.6750981
1000922,100092,0,1003841,0,243.9083439
1000921,100092,1000931,0,0,243.9510238
1000923,100092,0,0,0,243.9937038
1000841,100084,0,1007351,0,98.71387213
1000842,100084,0,1007352,0,98.49981949
1000912,100091,0,1000921,0,265.0184656
1000911,100091,0,0,0,264.9811704
1000913,100091,0,0,0,264.9438753
1007352,100735,0,1007371,0,16.75342104
1007351,100735,1007361,0,0,16.57514911
1007353,100735,0,0,0,16.39687706
1000852,100085,0,1000871,0,176.6663468
1000851,100085,1000861,0,0,176.6632279
1000853,100085,0,0,0,176.660109
1000861,100086,0,1007381,0,167.3942611
1000872,100087,0,1007351,0,276.3295539
1000871,100087,0,0,0,276.3486511
1000873,100087,0,0,0,276.3677482
1007382,100738,0,1007431,0,510.7432781
1007381,100738,0,0,0,510.9612695
1007383,100738,0,0,0,511.179261
1000882,100088,0,1007381,0,533.4795032
1000881,100088,0,0,0,533.4796978
1000883,100088,0,0,0,533.4798923
1000901,100090,0,1000851,0,193.7543304
1000902,100090,0,1000852,0,193.7395676
1000892,100089,0,1000901,0,400.704827
1000891,100089,1000881,0,0,400.6031249
1000893,100089,0,0,0,400.5014228
1003821,100382,0,1003811,0,181.5003034
1003822,100382,0,1003812,0,181.2693582
1000931,100093,0,1003561,0,194.1412152
