LinkID,LaneNum,TLinkID,FnJunction,TnJunction,SpeedLimit,Left,Through,Right,Lane1,Lane2,Lane3,Lane4,Lane5,Lane6,Lane7,Lane8,Lane9
100000,1,100001,506,507,35,100006,100058,0,1000001,0,0,0,0,0,0,0,0
100002,1,100003,506,594,35,0,0,0,1000021,0,0,0,0,0,0,0,0
100062,2,0,506,316,35,100061,100064,0,1000621,1000622,0,0,0,0,0,0,0
100001,1,100000,507,506,35,100062,100002,0,1000011,0,0,0,0,0,0,0,0
100006,2,0,507,762,35,100005,100042,0,1000061,1000062,0,0,0,0,0,0,0
100058,2,100059,507,328,35,0,100052,100054,1000581,1000582,0,0,0,0,0,0,0
100003,2,100002,594,506,35,0,100000,100062,1000031,1000032,0,0,0,0,0,0,0
100004,3,0,701,594,35,0,100003,0,1000041,1000042,1000043,0,0,0,0,0,0
100029,2,100028,701,860,35,0,100025,100027,1000291,1000292,0,0,0,0,0,0,0
100005,2,0,762,506,35,100000,100062,100002,1000051,1000052,0,0,0,0,0,0,0
100042,2,100043,762,801,35,0,100041,0,1000421,1000422,0,0,0,0,0,0,0
100007,1,100008,938,935,35,0,100013,108884,1000071,0,0,0,0,0,0,0,0
100019,4,0,938,877,35,0,100020,100021,1000191,1000192,1000193,1000194,0,0,0,0,0
100008,2,100007,935,938,35,0,100019,0,1000081,1000082,0,0,0,0,0,0,0
100013,2,100014,935,933,35,0,100016,0,1000131,1000132,0,0,0,0,0,0,0
108884,3,0,935,1059,35,108883,108895,0,1088841,1088842,1088843,0,0,0,0,0,0
100009,3,100010,929,925,35,100011,100023,0,1000091,1000092,1000093,0,0,0,0,0,0
100010,2,100009,925,929,35,0,0,0,1000101,1000102,0,0,0,0,0,0,0
100011,3,0,925,932,35,100012,100015,0,1000111,1000112,1000113,0,0,0,0,0,0
100023,2,100022,925,868,35,0,100024,0,1000231,1000232,0,0,0,0,0,0,0
100012,3,0,932,929,35,0,100009,0,1000121,1000122,1000123,0,0,0,0,0,0
100015,1,100016,932,933,35,0,100014,0,1000151,0,0,0,0,0,0,0,0
100014,1,100013,933,935,35,108884,100008,0,1000141,0,0,0,0,0,0,0,0
100016,2,100015,933,932,35,0,100012,0,1000161,1000162,0,0,0,0,0,0,0
100017,4,0,878,877,35,100020,100021,0,1000171,1000172,1000173,1000174,0,0,0,0,0
108880,4,0,878,1146,35,0,108879,108876,1088801,1088802,1088803,1088804,0,0,0,0,0
100020,4,0,877,867,35,100026,100039,0,1000201,1000202,1000203,1000204,0,0,0,0,0
100021,3,0,877,868,35,0,100024,100022,1000211,1000212,1000213,0,0,0,0,0,0
100018,4,0,870,878,35,100017,108880,0,1000181,1000182,1000183,1000184,0,0,0,0,0
108706,3,0,870,1293,35,0,108705,0,1087061,1087062,1087063,0,0,0,0,0,0
100026,4,0,867,870,35,100018,108706,0,1000261,1000262,1000263,1000264,0,0,0,0,0
100039,4,0,867,809,35,100038,100040,0,1000391,1000392,1000393,1000394,0,0,0,0,0
100022,1,100023,868,925,35,0,100010,100011,1000221,0,0,0,0,0,0,0,0
100024,2,100025,868,860,35,100027,100028,0,1000241,1000242,0,0,0,0,0,0,0
100025,1,100024,860,868,35,0,100022,0,1000251,0,0,0,0,0,0,0,0
100027,3,0,860,867,35,0,100026,100039,1000271,1000272,1000273,0,0,0,0,0,0
100028,2,100029,860,701,35,0,100004,0,1000281,1000282,0,0,0,0,0,0,0
100030,2,100031,815,814,35,100033,100034,0,1000301,1000302,0,0,0,0,0,0,0
108877,3,0,815,1147,35,0,108878,0,1088771,1088772,1088773,0,0,0,0,0,0
100031,1,100030,814,815,35,0,108877,0,1000311,0,0,0,0,0,0,0,0
